,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,saint-pierre,-21.34,55.48,71.01,77,1,5.82,RE,1602452715
274,seoul,37.57,126.98,55.4,100,90,2.01,KR,1602452685
275,novoagansk,61.94,76.66,32.95,96,100,9.48,RU,1602452716
276,suicheng,33.9,117.93,62.19,63,100,5.84,CN,1602452716
277,kapaa,22.08,-159.32,86.0,66,40,12.75,US,1602452681
278,mbandaka,0.05,18.26,71.56,92,96,2.28,CD,1602452716
279,nanzhou,29.36,112.4,62.13,88,1,8.28,CN,1602452716
280,kichera,55.94,110.1,25.66,85,87,5.01,RU,1602452717
281,port hardy,-7.03,29.76,76.53,62,63,3.15,CD,1602452685
282,batticaloa,7.71,81.69,79.36,70,100,10.07,LK,1602452717
283,taltal,-25.4,-70.48,60.94,66,22,3.02,CL,1602452717
284,morondava,-20.28,44.28,72.3,74,0,6.71,MG,1602452717
285,nishihara,26.18,127.76,77.0,88,40,7.67,JP,1602452718
286,primorsko,42.27,27.77,64.99,93,1,1.12,BG,1602452570
287,karratha,-20.74,116.85,76.12,31,0,7.94,AU,1602452433
288,ardakan,32.31,54.02,51.8,20,0,2.24,IR,1602452718
289,sakaiminato,35.55,133.23,64.4,93,75,2.24,JP,1602452718
290,wattegama,6.8,81.48,76.44,74,98,7.2,LK,1602452718
291,bathsheba,13.22,-59.52,84.2,74,40,11.41,BB,1602452719
292,burnie,-41.07,145.92,52.0,69,8,3.0,AU,1602452719
293,camocim,-2.9,-40.84,79.27,76,0,13.2,BR,1602452719
294,tuatapere,-46.13,167.68,51.01,85,100,7.0,NZ,1602452455
295,kamina,-8.74,24.99,65.93,89,99,6.02,CD,1602452720
296,kota belud,25.18,75.83,77.04,29,4,2.17,IN,1602452720
297,luderitz,-26.65,15.16,64.06,37,5,15.21,NA,1602452720
298,andra,62.51,65.89,43.66,86,84,11.32,RU,1602452721
299,lincoln,40.8,-96.67,87.8,35,1,29.97,US,1602452721
300,saint-michel-des-saints,46.68,-73.92,38.46,71,23,1.95,CA,1602452721
301,srednekolymsk,67.45,153.68,23.27,87,0,2.28,RU,1602452721
302,ulaangom,49.98,92.07,29.25,91,100,1.3,MN,1602452721
303,kouroussa,10.65,-9.88,73.29,90,64,1.1,GN,1602452721
304,san francisco,13.3,-4.9,83.21,53,2,6.53,ML,1602452644
305,patacamaya,-17.23,-67.92,52.99,49,86,19.6,BO,1602452722
306,vostok,46.49,135.88,42.1,100,100,2.93,RU,1602452722
307,severnyy,50.68,36.55,53.6,87,67,8.95,RU,1602452722
308,tabou,4.42,-7.35,77.11,89,100,9.42,CI,1602452723
309,aljezur,37.32,-8.8,66.99,51,0,4.0,PT,1602452723
310,geraldton,-28.77,114.6,55.4,87,0,8.05,AU,1602452723
311,tongchuan,35.08,109.09,51.13,45,84,5.23,CN,1602452723
312,huambo,-12.78,15.74,67.1,44,40,2.01,AO,1602452550
313,severodvinsk,64.56,39.83,48.2,87,75,2.24,RU,1602452724
314,kiama,-34.68,150.87,66.0,80,50,1.01,AU,1602452724
315,bontang,0.13,117.5,77.85,84,95,6.76,ID,1602452724
316,vilyuysk,63.76,121.62,19.49,97,56,4.29,RU,1602452725
317,esna,25.29,32.55,84.2,42,0,4.7,EG,1602452725
318,richards bay,46.84,-95.91,68.0,56,1,26.4,US,1602452725
319,dunedin,-45.87,170.5,55.0,77,91,18.01,NZ,1602452725
320,koulamoutou,-1.13,12.47,72.0,95,100,1.19,GA,1602452726
321,clyde river,41.3,-82.98,62.01,81,46,1.99,US,1602452727
322,concepcion del oro,-36.83,-73.05,68.0,49,0,18.34,CL,1602452625
323,tigil,57.8,158.67,34.75,82,0,4.54,RU,1602452727
324,carora,10.18,-70.08,87.89,45,35,13.78,VE,1602452727
325,amboasary,-25.03,46.38,75.2,94,75,4.7,MG,1602452727
326,rincon,32.3,-81.24,89.6,46,20,12.75,US,1602452727
327,mezen,65.85,44.24,42.51,96,91,4.41,RU,1602452711
328,mayo,38.89,-76.51,68.0,100,90,4.7,US,1602452728
329,coahuayana,18.73,-103.68,87.4,65,68,5.5,MX,1602452728
330,ambulu,-8.35,113.61,74.95,86,8,1.95,ID,1602452728
331,merauke,-8.47,140.33,80.46,75,16,15.3,ID,1602452728
332,sulina,45.16,29.65,64.89,84,99,6.38,RO,1602452728
333,namibe,-15.2,12.15,62.04,83,39,5.14,AO,1602452729
334,oster,50.95,30.88,54.0,100,92,1.23,UA,1602452729
335,quelimane,-17.88,36.89,77.0,83,40,6.93,MZ,1602452729
336,cabedelo,-6.98,-34.83,78.8,74,20,4.7,BR,1602452696
337,tecolutla,20.48,-97.02,87.8,66,40,11.41,MX,1602452729
338,vanavara,60.34,102.28,18.19,93,26,3.74,RU,1602452729
339,vao,-22.67,167.48,73.9,87,2,14.09,NC,1602452729
340,muros,42.78,-9.06,55.0,79,4,1.01,ES,1602452730
341,paidha,2.42,30.99,61.39,91,15,5.26,UG,1602452730
342,fort nelson,52.65,6.39,48.0,96,7,1.99,NL,1602452730
343,san policarpo,13.3,-4.9,83.21,53,2,6.53,ML,1602452702
344,san juan,13.3,-4.9,83.21,53,2,6.53,ML,1602452644
345,chaumont,48.12,5.13,46.99,92,25,1.01,FR,1602452730
346,hamilton,39.18,-84.53,72.0,73,90,10.29,US,1602452602
347,santa fe,17.49,120.43,77.41,87,99,4.85,PH,1602452731
348,shaowu,27.34,117.48,62.65,83,1,1.19,CN,1602452731
349,cervo,43.67,-7.41,57.0,1,81,7.67,ES,1602452731
350,ekibastuz,51.67,75.37,44.53,95,98,10.54,KZ,1602452731
351,moroni,-11.7,43.26,79.0,78,0,1.45,KM,1602452731
352,kualakapuas,-3.01,114.39,73.4,100,68,3.36,ID,1602452731
353,roebourne,-20.78,117.13,78.21,31,0,8.52,AU,1602452732
354,sarh,9.14,18.39,73.4,83,40,2.86,TD,1602452732
355,faya,18.39,42.45,64.4,29,0,2.17,SA,1602452732
356,ust-kuyga,70.02,135.6,13.95,90,85,4.59,RU,1602452732
357,presidente epitacio,-29.95,-50.11,64.56,79,0,16.98,BR,1602452733
358,puro,12.48,123.38,78.49,84,100,0.78,PH,1602452733
359,axim,4.87,-2.24,76.21,87,95,5.59,GH,1602452733
360,hambantota,6.12,81.12,80.33,78,86,19.04,LK,1602452733
361,san cristobal,13.3,-4.9,83.21,53,2,6.53,ML,1602452688
362,thakurdwara,29.2,78.85,70.63,70,0,2.28,IN,1602452733
363,arinos,-15.92,-46.11,80.56,52,70,5.53,BR,1602452733
364,kasongo-lunda,-6.47,16.82,71.74,91,100,2.17,CD,1602452734
365,seguin,29.57,-97.96,96.8,32,1,14.99,US,1602452734
366,badou,7.58,0.6,71.06,93,25,2.1,TG,1602452734
367,kashiwazaki,37.37,138.55,61.0,95,65,3.69,JP,1602452734
368,verkhnevilyuysk,63.45,120.32,19.62,97,55,3.33,RU,1602452734
369,grand gaube,38.88,-109.5,70.0,25,1,14.99,US,1602452734
370,udachnyy,66.42,112.4,17.6,92,90,4.47,RU,1602452734
371,san jose,13.3,-4.9,83.21,53,2,6.53,ML,1602452688
372,odesskoye,54.21,72.97,42.33,94,50,6.62,RU,1602452735
373,anadyr,64.75,177.48,30.0,86,82,8.95,RU,1602452735
374,cotonou,6.37,2.42,80.6,83,40,10.29,BJ,1602452735
375,spencer,43.14,-95.14,84.2,39,1,31.09,US,1602452736
376,yulara,-25.24,130.99,60.8,31,14,6.93,AU,1602452736
377,atlantic beach,39.47,-74.67,64.4,88,90,8.05,US,1602452618
378,vardo,70.37,31.11,41.0,100,75,9.17,NO,1602452736
379,gornopravdinsk,60.05,69.9,45.03,93,99,8.32,RU,1602452736
380,manbij,36.53,37.95,53.6,58,0,2.35,SY,1602452736
381,boende,-0.22,20.87,70.79,96,95,1.74,CD,1602452736
382,turukhansk,65.82,87.98,22.28,97,100,13.38,RU,1602452737
383,oranjestad,12.52,-70.03,87.8,70,20,20.8,AW,1602452631
384,mahina,-17.51,-149.49,86.0,66,20,19.46,PF,1602452737
385,nouadhibou,20.93,-17.03,69.8,88,0,17.22,MR,1602452738
